"Kode PT","Nama PT","Jalan","No Telepon dan Faksmil","Email","Website","Wilayah"
"051022","Universitas Aisyiyah Yogyakarta","Jalan Ring Road Barat No. 63 Mlangi Nogotirto  - 55292","T: 0274-4469199 F:  0274-4469204","info@unisayogya.ac.id","www.unisayogya.ac.id","Kabupaten Sleman"
"051023","Universitas Nahdlatul Ulama Yogyakarta","Jl Lowanu No 47, Sorosutan, Umbulharjo, Yogyakarta, D.I. Yogyakarta - 55162","T: 0274414708 F:","info@unu-jogja.ac.id","unu-jogja.ac.id","Kota Yogyakarta"
"051024","Universitas Amikom Yogyakarta","Jalan Ring Road Utara Condong Catur Depok-Sleman -","T: (0274)884-201 F: (0274)884208","amikom@amikom.ac.id","www.amikom.ac.id","Kabupaten Sleman"
"051025","Universitas Jenderal Achmad Yani Yogyakarta","-","T:  0274552489 F:  0274557228","biroaa.unjaya@gmail.com","www.unjaya.ac.id","Kabupaten Sleman"
"051026","Universitas Mahakarya Asia","-","T: 0274-866800 F: 0274-866800","adminPT@unmaha.ac.id","www.unmaha.ac.id","Kabupaten Sleman"
"051027","Universitas Siber Muhammadiyah","Jl. HOS Cokroaminoto No. 17 Pakuncen Wirobrajan  - 55253","T: 0274 5015518 F: -","humas@sibermu.ac.id","https://sibermu.ac.id","Kota Yogyakarta"
"051028","Universitas Teknologi Digital Indonesia","-","T: (0274) 486664 F: (0274) 486438","info@utdi.ac.id","utdi.ac.id","Kabupaten Bantul"
"051029","Universitas Cendekia Mitra Indonesia","-","T:  F:","info@unicimi.ac.id","www.unicimi.ac.id","Kota Yogyakarta"
"052001","IKIP PGRI Wates","Jl. KRT Kertodiningrat No 5 Pengasih Kulonprogo DIY - 55652","T: (0274)773283 F: 0274773283","ikippgriwates@yahoo.co.id","www.ipw.ac.id","Kabupaten Kulon Progo"
"052002","Institut Pertanian (Intan) Yogyakarta","Jalan Magelang KM 5,6  - 55284","T: (0274) 589520 F: (0274) 589520","intaninstitut@yahoo.co.id; intaninstitut@gmail.com","www.intan.ac.id","Kabupaten Sleman"
"052003","Institut Sains Dan Teknologi Akprind","Jalan Kalisahak No 28 Komplek Balapan - 55222","T: 0274-563029 F: 0274-563847","info@akprind.ac.id","www.akprind.ac.id","Kota Yogyakarta"
"052004","Institut Pertanian Stiper","Jalan Nangka II Maguwoharjo Depok Sleman Daerah Istimewa Yogyakarta - 55283","T: (0274) 885478 F: (0274) 885479","instiper@instiperjogja.ac.id","www.instiperjogja.ac.id","Kabupaten Sleman"
"052005","Institut Teknologi Yogyakarta","Jalan Janti KM 4 Gedongkuning  - 55198","T: 0274-566863 F: 0274-566863","info@ity.ac.id","ity.ac.id","Kabupaten Bantul"
"052006","Institut Teknologi Nasional Yogyakarta","Jalan Babarsari, Caturtunggal, Depok, Sleman, Yogyakarta - 55281","T: (0274) 485390 F: (0274) 487249","info@itny.ac.id","itny.ac.id","Kota Yogyakarta"
"052007","Institut Teknologi Dirgantara Adisutjipto","-","T: 0274-451262 F: 0274-451265","info@itda.ac.id","itda.ac.id","Kabupaten Bantul"
"052008","Institut Sains Teknologi Dan Kesehatan Mulia Yogyakarta","-","T:  F:","istekmuliayogyakarta@gmail.com","istekmulia.ac.id","Kabupaten Bantul"
"053001","STIKIP Catur Sakti","Jalan Dr Wahidin Sudirahusada Bantul Timur Bantul 55714 Yogyakarta - 55714","T: (0274) 367612 F: (0274) 367612","kampus@stikipcatursakti.ac.id","www.stikipcatursakti.ac.id","Kabupaten Bantul"
"053003","Sekolah Tinggi Ilmu Ekonomi YKPN","Jalan Seturan Catur Tunggal Depok Sleman - 55281","T: 0274 486160, 486321 F: 0274 486081, 486155","stieykpn@stieykpn.ac.id","www.stieykpn.ac.id","Kabupaten Sleman"
"053004","Sekolah Tinggi Ilmu Ekonomi Widya Wiwaha","Jalan Lowanu Sorosutan UH VI/20, YOGYAKARTA.  - 55162","T: 0274-377091 F: 0274-370394","info@stieww.ac.id","www.stieww.ac.id","Kota Yogyakarta"
"053005","Sekolah Tinggi Ilmu Ekonomi Nusa Megarkencana","Jalan AM Sangaji No 49-51  - 55281","T: 0274-518987 F: 0274-524864","nusamegarkencana@gmail.com","www.stienusa.ac.id","Kota Yogyakarta"
"053009","Sekolah Tinggi Pembangunan Masyarakat Desa APMD","Jalan Timoho No 317 Yogyakarta - 55225","T: +62274561971 F: +62274515989","info@apmd.ac.id","www.apmd.ac.id","Kota Yogyakarta"
"053012","Sekolah Tinggi Ilmu Ekonomi SBI","Jalan Ring Road Utara No 17 Sleman - 55156","T: (0274) 887984 F: (0274) 887984","info@stie-sbi.ac.id","stie-sbi.ac.id","Kabupaten Sleman"
"053015","Sekolah Tinggi Ilmu Ekonomi Ykp","Jalan Godean KM.3 Tambak, Kasihan Bantul - 55182","T: 0274-560436 F: 0274-581471","info@stieykp.ac.id","www.stieykp.ac.id","Kabupaten Bantul"
"053017","Sekolah Tinggi Ilmu Ekonomi Isti Ekatana Upaweda","Jalan Hayam Wuruk No 20  - 55112","T: (0274)551477 F: (0274)551477","stieieupaweda@gmail.com","https://stieieu.ac.id","Kota Yogyakarta"
"053018","Sekolah Tinggi Teknologi Kedirgantaraan","Jalan Parangtritis Km 4,5  - 55000","T: 0274 418248 F: 0274 418248","mail@sttkd.ac.id","www.sttkd.ac.id","Kabupaten Bantul"
"053019","Sekolah Tinggi Ilmu Administrasi Aan","Blunyahrejo Karangwaru Tegalrejo - 55241","T: 0274-517471 F: 0274-517471","stiaaan79@gmail.com","www.stia-aan.ac.id","Kota Yogyakarta"
"053020","Sekolah Tinggi Pariwisata Ampta Yogyakarta","Jalan Tempel Catur Tunggal Depok Sleman - 55281","T: 0274-485115 F: 0274-485115","ampta@yahoo.co.id","www.ampta.ac.id","Kabupaten Sleman"
"053022","Sekolah Tinggi Ilmu Ekonomi Pariwisata Api","Jalan Glendongan TB XV15-B Babarsari Depok SLeman Yogyakarta - 55281","T: 0274-485630 F: 0274-487247","akademik@stieparapi.ac.id   dan  stieapi@gmail.com","www.stieparapi.ac.id","Kabupaten Sleman"
"053023","Sekolah Tinggi Bahasa Asing LIA Yogyakarta","Jl Lingkar Utara Pandeansari Blok IV No 8, Condong Catur - 55232","T: 0274-884800,889009 F: 0274-884800","info@stbalia-yk.ac.id","www.stbalia-yk.ac.id","Kabupaten Sleman"
"053025","Sekolah Tinggi Manajemen Informatika dan Ilmu Komputer El Rahma Yogyakarta","Jalan Sisingamangaraja No 76 Karangkajen Brotokusuman - 55153","T: 0274-377982 F: 0274-377982","info@stmikelrahma.ac.id","www.stmikelrahma.ac.id","Kota Yogyakarta"
"053027","Sekolah Tinggi Ilmu Kesehatan Wira Husada","Jalan Glendongan Babarsari  - 55281","T: 0274485110 F: (0274)485110","info@stikeswirahusada.ac.id","www.stikeswirahusada.ac.id","Kabupaten Sleman"
"053030","Sekolah Tinggi Ilmu Kesehatan Surya Global Yogyakarta","Jl. Ringroad Selatan Blado, Potorono, Banguntapan - 55198","T: 0274 - 4469099 F: 0274 - 4469101","info@stikessuryaglobal.ac.id","stikessuryaglobal.ac.id","Kabupaten Bantul"
"053034","Sekolah Tinggi Ilmu Manajemen YKPN Yogyakarta","Jl Palagan Tentara Pelajar Km. 7 Yogyakarta - 55581","T: 0274-885805, 885700 F: 0274-885505","info@stimykpn.ac.id","www.stimykpn.ac.id","Kabupaten Sleman"
"053037","Sekolah Tinggi Pariwisata Ambarrukmo Yogyakarta","Jl A yani Ringroad Timur no 52, Modalan, Banguntapan - 55281","T: 0274-485650 F: 0274-485214","stipram@yahoo.com","www.stipram.ac.id","Kabupaten Bantul"
"053039","Sekolah Tinggi Seni Rupa Dan Desain Visi Indonesia","Jl. Taman Siswa No. 150 B  - 55151","T: 0274-377787 F: 0274-388680","info@stsrdvisi.ac.id","www.stsrdvisi.ac.id","Kota Yogyakarta"
"053040","Sekolah Tinggi Ilmu Kesehatan Bethesda Yakkum","Jl. Johar Nurhadi No. 6 - 55224","T: +62-274-517065 F: +62-274-524565","info@stikesbethesda.ac.id","www.stikesbethesda.ac.id","Kota Yogyakarta"
"053041","STIKES Yogyakarta","Jln. Nitikan Baru No. 69 Yogyakarta  - 55162","T: (0274) 2870661 F:","stikesyo@gmail.com","www.stikes-yogyakarta.ac.id","Kota Yogyakarta"
"053042","STIKES Guna Bangsa Yogyakarta","Jl. Ringroad Utara, Condongcatur, Depok - 55283","T: (0274) 4477701 F: (0274) 4477702","stikes@gunabangsa.ac.id","www.gunabangsa.ac.id","Kabupaten Sleman"
"053043","STIKES AL-Islam Yogyakarta","Jl. Bantul Dukuh Mj.1/1221 Yogyakarta  - 55142","T: 0274 381489 F: 0274 381489","stikes.alislamyogyakarta@gmail.com","www.stikesalislam.ac.id","Kota Yogyakarta"
"053044","Sekolah Tinggi Ilmu Kesehatan Madani","Jl. Wonosari Km. 10 Karanggayam, Sitimulyo, Piyungan, Bantul Yogyakarta - 55792","T: 02742842380 F: 02742842380","info@stikesmadani.ac.id","stikesmadani.ac.id","Kabupaten Bantul"
"053045","Sekolah Tinggi Ilmu Kesehatan Panti Rapih Yogyakarta","Jalan Tantular 401 Pringwulung Condongcatur -","T: 0274 518977 F: 0274 587143","stikespr@stikespantirapih.ac.id","www.stikespantirapih.ac.id","Kabupaten Sleman"
"053046","Sekolah Tinggi Ilmu Kesehatan Akbidyo","Jl. Parangtritis Km. 6 Sewon Bantul -","T: (0274) 445008 F: (0274) 371345","info@akbidyo.ac.id","www.akbidyo.ac.id","Kabupaten Bantul"
"053047","Sekolah Tinggi Ilmu Komunikasi Yogyakarta","-","T:  0274 - 4533864 F:  0274 - 484574","humas@akindo.ac.id","www.stikomyogyakarta.ac.id","Kota Yogyakarta"
"053048","Sekolah Tinggi Ilmu Kesehatan Notokusumo Yogyakarta","Kampus I  : Jl. masjid PA No 5 Yogyakarta Kampus II : Jl. Bener No 26 Tegalrejo -","T: (0274) 587208 F: (0274) 587402","admisi@stikes-notokusumo.ac.id","www.stikes-notokusumo.ac.id","Kota Yogyakarta"
"053049","Sekolah Tinggi Maritim Yogyakarta","Jl. Magelang Km.4,4 Mesan Sinduadi Mlati - 55284","T: (0274) 586263 F: (0274) 586263","info@stimaryo.ac.id","stimaryo.ac.id","Kabupaten Sleman"
"053050","Sekolah Tinggi Arsitektur YKPN Yogyakarta","Jl. Gagak Rimang No.1, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta  -","T: 0274587469 F: -","admin@starsykpn.ac.id","starsykpn.ac.id","Kota Yogyakarta"
"053052","Sekolah Tinggi Ilmu Bisnis Kumala Nusa","Jalan Majapahit No. 43 Ringroad Timur Wonocatur, Banguntapan, Bantul  - 55198","T: 0274-516993 F: 0274-516993","info@stibsa.ac.id","www.stibsa.ac.id","Kota Yogyakarta"
"053053","Sekolah Tinggi Ilmu Kesehatan Bantul","-","T:  F:","","","Kabupaten Bantul"
"054006","Akademi Manajemen Putra Jaya","Jalan Pramuka No 85-B  - 55163","T: 0815-7880-0244 F:","ampjyk@gmail.com","","Kota Yogyakarta"
"054007","Akademi Kesejahteraan Sosial AKK","Jalan Nitikan No 69  - 55162","T: 0274373142 F: 0274383560","aks_akk@yahoo.co.id","www.aks-akk.ac.id","Kota Yogyakarta"
"054011","Akademi Peternakan Brahmaputra","Jl Ki Ageng Pemanahan Nitikan Sorosutan Umbulharjo - 55162","T: 0274-384370 F: 0274-384370","apbp_yogya@yahoo.com","brahmaputra.ac.id","Kota Yogyakarta"
"054014","Akademi Ketatalaksanaan Pelayaran Niaga Bahtera","Jalan Dukuh MJ I1221  - 55142","T: 0274-381489 F: 0274-381489","akpnbahtera@yahoo.co.id","www.akpn-bahtera.ac.id","Kota Yogyakarta"
"054015","Akademi Pertanian Yogyakarta","Tegalwaras Ngaglik Sleman  - 55581","T: (0274) 869065 F: (0274) 869065","akademipertanian@yahoo.com","www.apta.ac.id","Kabupaten Sleman"
"054016","ASM Marsudirini Santa Maria","Jalan Bener 14 Tegalrejo  - 55243","T: (0274) 585836 F: (0274) 585841","info@asmistmaria.ac.id","www.asmistmaria.ac.id","Kota Yogyakarta"
"054017","Akademi Perikanan Yogyakarta","Jalan Balirejo Muja-muju  - 55165","T: 0274-582031 F: 0274-582031","LPPM_APY@yahoo.com","www.apy.ac.id","Kota Yogyakarta"
"054020","Akademi Pariwisata Indraphrasta","Jalan Bantul Km.6,5 yogyakarta - 55161","T: 0274-370812 F: 0274-370812","akpar.indraphrasta@yahoo.com","www.indraphrasta.ac.id","Kota Yogyakarta"
"054022","Akademi Sekretari dan Manajemen Indonesia Desanta","Jalan Wates Km. 7.5 , Balecatur , Gamping Sleman - 55295","T: 0274-453073 F: 0274-453073","desanta054022@yahoo.com","www.asmidesanta.ac.id","Kabupaten Sleman"
"054026","Akademi Pariwisata Yogyakarta","Jalan Baladewa, Babarsari, Glendongan, Tambak Bayan, Caturtunggal, Kecamatan Depok, Kabupaten Sleman, RT 15, RW 4, Daerah Istimewa Yogyakarta, 55281 (0274) 511791 - 55281","T: 0274-511791 F: 0274-511791","akparyo.abadigroup@gmail.com","akparyo.ac.id","Kabupaten Sleman"
"054028","Akademi Pariwisata Dharma Nusantara Sakti","Jl. Bintaran kidul 12 Yogyakarta - 55281","T: 0274-376830, 388434 F:","akpardayk@yahoo.com","www.aparda.ac.id","Kota Yogyakarta"
"054030","Akademi Pariwisata Stipary","Jl. Ringroad Timur No. 4 Maguwoharjo Depok Sleman DIY. - 55298","T: 0274-4332832 F: 0274-4332832","stipary_akpar@yahoo.com","www.stipary.ac.id","Kabupaten Sleman"
"054035","Akademi Komunikasi Radya Binatama","Jalan Raya Janti No. 3/47 Yogyakarta  - 55162","T: 0274 4333577 F: (0274) 4333577","akrb@akrb.ac.id","www.akrb.ac.id","Kabupaten Sleman"
"054039","Akademi Manajemen Administrasi Yogyakarta","Jalan Brawijaya no.101 Ringroad Selatan Tamantirto Kasihan Bantul DIY - 55183","T: 0274-2818878 F: 0274-2818878","info@amayogyakarta.ac.id","www.amayogyakarta.ac.id","Kabupaten Bantul"
"054041","Akademi Seni Rupa Dan Desain MSD","Jalan Tamansiswa No 164  - 55151","T: 0274-414277 F: 0274-378394","contact@msd.ac.id","www.msd.ac.id","Kota Yogyakarta"
"054044","Akademi Fisioterapi YAB Yogyakarta","Jl Ring Road Selatan Giwangan Umbulharjo Jogjakarta - 55163","T: 085100104291/4396908 F: 0274-4396908","akfisyab1@yahoo.com","www.akfisyab.co.id/beta","Kota Yogyakarta"
"054046","Akademi Manajemen Administrasi Dharmala","Jalan Janti 331 Gedongkuning Banguntapan - 55281","T: (0274)555237 F: -","amadharmala@gmail.com","www.amadharmala.ac.id","Kota Yogyakarta"
"054048","Akademi Analis Farmasi Al-Islam","Jl Bantul Gedongkiwo MJ I816  - 55148","T: 0274 388542 F: 0274 381489","akafarmaalislamyk@gmail.com","www.akafarmaalislam.ac.id","Kota Yogyakarta"
"054055","Akademi Keperawatan YKY Yogyakarta","Jl Sonosewu Ds VI Ngestiharjo Kasihan Bantul - 55151","T: (0274)450691 F: 0274450691","akper_yky@yahoo.com","www.akperykyjogja.ac.id","Kabupaten Bantul"
"054061","Akademi Analis Kesehatan Manggala Yogyakarta","Jl Bratajaya No 25 Sokowaten Banguntapan Bantul, Yogyakarta - 55198","T: 543-532 F: 543-532","aakmanggala@gmail.com","www.aakmanggala.ac.id","Kabupaten Bantul"
"054067","Akademi Farmasi Indonesia Yogyakarta","Kebrokan RT 20 RW 05, Pandeyan, Umbulharjo, Yogyakarta - 55161","T: 0274 370458 F: 0274 370458","info@afi.ac.id","www.afi.ac.id","Kota Yogyakarta"
"054068","Akademi Teknik Radiodiagnostik dan Radioterapi (ATRO)","Jl. Magelang Km.8 Mlati Sleman Yogyakarta - 55285","T: 0274 - 866877 F: 0274 - 866877","atrocitrabangsa@yahoo.co.id","www.atrocb.ac.id","Kabupaten Sleman"
"054069","Akademi Film Yogyakarta","Jl. Ipda Tut Harsono No.26., Muja Muju, Kec. Umbulharjo - 55165","T: 02742923865 F:","info@afy.ac.id","afy.ac.id","Kota Yogyakarta"
"054070","Akademi Kebidanan Mulia Madani Yogyakarta","-","T: 0274-6498250 F: 0274-6498250","akbid.mmy@gmail.com","www.akbidmmy.ac.id","Kabupaten Bantul"
"054071","Akademi Optometri Yogyakarta","-","T: 0274 4350353 F:","info@aktriyo.ac.id","www.aktriyo.ac.id","Kabupaten Bantul"
"055001","Politeknik API Yogyakarta","JL.WISATA BABARSARI TB XV/15 YOGYAKARTA - 55281","T: (0274) 485554 F: (0274) 485275","info@poltekapi.ac.id","http://www.poltekapi.ac.id/","Kabupaten Sleman"
"055002","Politeknik LPP Yogyakarta","Jalan LPP No 1-A  - 55222","T: 0274-555776 F: 0274-585274","surat@polteklpp.ac.id","www.polteklpp.ac.id","Kota Yogyakarta"
"055006","Politeknik Seni Yogyakarta","Klidon Sukoharjo Ngaglik Sleman - 55581","T: 0274-4464892 F: 0274-4464892","poliseni_yogya@yahoo.co.id","www.poliseni.ac.id","Kabupaten Sleman"
"055008","Politeknik Kesehatan Bhakti Setya Indonesia","Jl Janti Gedongkuning No 336 Banguntapan Bantul - 55198","T: (0274)580663,7482722 F: (0274)544618","akademik@poltekkes-bsi.ac.id","www.poltekkes-bsi.ac.id","Kota Yogyakarta"
"055009","Politeknik Kesehatan Permata Indonesia Yogyakarta","Ringroad Utara No. 22 C. Gandok, Condong Catur, Depok, Sleman, Yogyakarta - 55283","T: 0274-6411536 F: 0274-6411536","persia2007@ymail.com","www.permataindonesia.ac.id","Kabupaten Sleman"
"055011","Politeknik Kesehatan TNI AU Adisutjipto","Jalan Majapahit (Janti) Blok R Lanud Adisutjipto - 55198","T: 02744352698 F: 02744352698","admin@poltekkesadisutjipto.ac.id","poltekkesadisutjipto.ac.id","Kabupaten Bantul"
"055012","Politeknik Kesehatan Karya Husada Yogyakarta","Jl. Tentara Rakyat  Mataram No. 11-B -","T: (0274) 587 677 F: (0274) 587677","poltekkeskhjogja@gmail.com","poltekkeskhjogja.ac.id","Kota Yogyakarta"
"055013","Politeknik Kesehatan Ummi Khasanah","Jalan Pemuda, Gandekan, Bantul - 55711","T: (0274)368055 F: (0274)368055","poltekkesummikha@gmail.com","www.ummikha.ac.id","Kabupaten Bantul"
"055014","Politeknik YKPN","-","T: 0274 513413 F: 0274 561591","poltekykpn@poltekykpn.ac.id","poltekykpn.ac.id","Kota Yogyakarta"
"055015","Politeknik Gistrav","-","T:  F:","","","Kabupaten Sleman"
"056001","Akademi Komunitas Perkebunan Yogyakarta","-","T: 027456076 F: 027456076","admin@akpy-stiper.ac.id","www.akpy-stiper.ac.id","Kabupaten Sleman"
